ProdName,SKU,Desc,LongDesc
Vitamin D-3 1000 IU,22447,,"Vitamin D plays a key role in helping to maintain bone density and bone strength. It also supports cardiovascular health, mental health, skin health, as well as immune system health. Even though the human body can manufacture Vitamin D under ideal circumstances, much of the American population suffers from a Vitamin D deficiency. Vitamin D-3 is the more bioactive form of Vitamin D."
Vitamin D-3 2000 Iu,24926,Important Bone Building Vitamin,"Vitamin D plays a key role in helping to maintain bone density and bone strength. It also supports cardiovascular health, mental health, skin health, as well as immune system health. Even though the human body can manufacture Vitamin D under ideal circumstances, much of the American population suffers from a Vitamin D deficiency. Vitamin D-3 is the more bioactive form of Vitamin D."
Vitamin D-3 5000 IU,26874,Important Bone Building Vitamin,"Vitamin D plays a key role in helping to maintain bone density and bone strength. It also supports cardiovascular health, mental health, skin health, as well as immune system health. Even though the human body can manufacture Vitamin D under ideal circumstances, much of the American population suffers from a Vitamin D deficiency. Vitamin D-3 is the more bioactive form of Vitamin D."
Vitamin D-3 5000 IU,26873,Important Bone Building Vitamin,"Vitamin D plays a key role in helping to maintain bone density and bone strength. It also supports cardiovascular health, mental health, skin health, as well as immune system health. Even though the human body can manufacture Vitamin D under ideal circumstances, much of the American population suffers from a Vitamin D deficiency. Vitamin D-3 is the more bioactive form of Vitamin D."
Vitamin D-3 Drops,27780,Important Bone Building Vitamin,"Vitamin D plays a key role in helping to maintain bone density and bone strength. It also supports cardiovascular health, mental health, skin health, as well as immune system health. Even though the human body can manufacture Vitamin D under ideal circumstances, much of the American population suffers from a Vitamin D deficiency. Vitamin D-3 is the more bioactive form of Vitamin D."
Vitamin D3 125Mcg Citrus 5000 IU,48213,,"Vitamin D plays many important roles in the body, including supporting healthy bones and muscles, cardiovascular health, blood sugar balance, and immune function. Most individuals do not get enough of this essential nutrient and require supplementation. Taking vitamin D3 in liquid form is great for children and adults and makes supplementation easy. Five drops provides 5,000 IU of vitamin D3 and can be mixed with food or beverage.  "
Vitamin D3 Plus K2,47521,Promotes Bone and Cardiovascular Health,"Optimal amounts of vitamins D and K are essential for bone, cardiovascular, and immune health. These two vitamins work synergistically by helping to properly utilize calcium within the body. Vitamin D is necessary for calcium absorption, and vitamin K is important for directing calcium to the bones and away from the soft tissues, such as blood vessels. Taking Vitamin D and K in combination can provide greater support for the body than taking them separately."
Vitamin E 400 Iu,30707,,"Vitamin E is an important fat soluble antioxidant that helps to protect cell membranes against free radical damage. It also plays a role in wound healing, improving insulin function, and protecting the body from degenerative diseases, such as cancer, cardiovascular disease, and Alzheimer's disease. Pathway Vitamin E 400 IU contains alpha-tocopherol as well as a mix of the other naturally occurring tocopherols for enhanced support. Studies show that the mixed tocopherols are more potent at scavenging free radicals than alpha-tocopherol alone."
Vitamin K2,20930,Supports Bone and Cardiovascular Health,"Pathway Vitamin K2 (as menaquinone-7) has been shown to play a key role in maintaining healthy bone density and arterial health by increasing the body’s formation of osteocalcin, which helps calcium bind to the bone matrix and grow and strengthen bones. Vitamin K2 also increases the formation of a protein (Matrix GLA-Protein), which regulates the amount of calcium present in the arterial walls and helps maintain the elasticity and overall health of arteries."
Vitamins A & D,48416,"Vitamins A&D – 10,000 IU A / 400 IU D","Vitamins A and D have been shown to influence the immune response in very specific ways. For example, they support lymphocyte activation and proliferation, T-helper-cell differentiation, and the production of specific antibody isotypes. These important fat-soluble vitamins have hormone-like properties and work together to provide immune and inflammation support.  Each softgel provides 10,000 IU of vitamin A and 400 IU of vitamin D3 derived from fish liver oil."
Whey Protein Chocolate,108,Non GMO Protein Powder,"Whey protein contains all of the essential amino acids in biologically significant amounts and is simply one of the most complete sources of proteins and amino acids in the marketplace. It does not contain any synthetic hormones such as rBGH. The whey protein concentrate used in this formula is produced through an ion-exchanged, ultra filtration process that yields the highest level of protein and amino acids while preserving all the naturally occurring, immune enhancing and muscle nourishing bioactive. Derived from grass fed cattle, Pathway Whey Protein is one of the cleanest powders on the market."
"Whey Protein Plus Mct UNSWEETENED, UNFLAVORED",47524,Supports Muscle Strength and Recovery,"The combination of Whey protein + MCT oil provides rapid energy to increase metabolism, improve focus, and support overall strength and muscle growth. Unflavored and unsweetened, Whey + MCT is perfect for Keto and Paleo diets and provides 15 grams of grass-fed whey protein concentrate and 2 grams of MCT oil sourced 100% from coconut."
Whey Protein Unflavored,106,Non GMO Protein Powder,"Whey protein contains all of the essential amino acids in biologically significant amounts and is simply one of the most complete sources of proteins and amino acids in the marketplace. It does not contain any synthetic hormones such as rBGH. The whey protein concentrate used in this formula is produced through an ion-exchanged, ultra filtration process that yields the highest level of protein and amino acids while preserving all the naturally occurring, immune enhancing and muscle nourishing bioactive. Derived from grass fed cattle, Pathway Whey Protein is one of the cleanest powders on the market."
Whey Protein Vanilla,107,Non GMO Protein Powder,"Whey protein contains all of the essential amino acids in biologically significant amounts and is simply one of the most complete sources of proteins and amino acids in the marketplace. It does not contain any synthetic hormones such as rBGH. The whey protein concentrate used in this formula is produced through an ion-exchanged, ultra filtration process that yields the highest level of protein and amino acids while preserving all the naturally occurring, immune enhancing and muscle nourishing bioactive. Derived from grass fed cattle, Pathway Whey Protein is one of the cleanest powders on the market."
Whey Protein Vanilla Lg,40642,Non GMO Protein Powder,"Whey protein contains all of the essential amino acids in biologically significant amounts and is simply one of the most complete sources of proteins and amino acids in the marketplace. It does not contain any synthetic hormones such as rBGH. The whey protein concentrate used in this formula is produced through an ion-exchanged, ultra filtration process that yields the highest level of protein and amino acids while preserving all the naturally occurring, immune enhancing and muscle nourishing bioactive. Derived from grass fed cattle, Pathway Whey Protein is one of the cleanest powders on the market."
Whole Food Magnesium Powder Lemon,50314,,"Magnesium is an important cofactor for more than 300 biochemical reactions in the body and is an essential mineral for brain and nervous system health, blood sugar metabolism, as well as healthy bones and muscles. Our Whole Food Magnesium Powder provides a highly absorbable and fast-acting form of magnesium, sourced from patented Aquamin® red algae. This great tasting effervescent powder mixes easily with water and provides 350 mg of magnesium per serving."
Whole Food Vitamin C,50316,,"Vitamin C is a powerful antioxidant that is involved in many important body functions, including the formation of collagen, absorption of iron, the proper functioning of the immune system, wound healing, and the maintenance of cartilage, bones, and teeth. Our Whole Food Vitamin C provides 500 mg of vitamin C combined with the added benefits of phytonutrients, probiotics, and enzymes from organically grown fruits and vegetables."
Whole Food Vitamin C 500mg,50315,,"Vitamin C is a powerful antioxidant that is involved in many important body functions, including the formation of collagen, absorption of iron, the proper functioning of the immune system, wound healing, and the maintenance of cartilage, bones, and teeth. Our Whole Food Vitamin C provides 500 mg of vitamin C combined with the added benefits of phytonutrients, probiotics, and enzymes from organically grown fruits and vegetables."
Womens Hormone Balancer,38843,Supports Female Bone & Hormonal Health,"Women's Hormone Balancer is a comprehensive female specific formula. Ingredients such as vitex, polygonum and black cohosh, along with DIM and chrysin protect and support beneficial estrogen aromatase activity. Calcium-D-glucarate promotes the proper elimination of excess estrogens. Rosemary, resveratrol, grape seed extract, and EGCg from green tea are included for maximum antioxidant protection. Vitamins B6, B12, and folates (NatureFolate™ blend) promote proper cell differentiation. And, magnesium and calcium are also included to help support bone and hormone health."
Womens One Daily,25615,Made with Organic Ingredients,"Pathway Women's One Daily is a whole food multivitamin that contains a comprehensive blend of important vitamins and minerals along with cultured herbal blends, cultured vegetables, cultured fruits, cultured sprouts, cultured spices, and essential glyconutrients. This formula provides iron and a higher amount of folic acid and B12, along with red clover, cranberry and red raspberry to support female health."
Womens Probiotic,45176,15 Billion CFU,Pathway Women’s Probiotic is specially formulated to support urinary and vaginal health. It features 8 scientifically studied strains of Lactobacillus and Bifidobacterium microflora along with prebiotic fiber to enhance the growth of beneficial flora and hinder the growth of pathogenic bacteria. Pathway Women’s Probiotic is shelf stable and does not require refrigeration.
Women’s 85 Billion Probiotic,51112,,"This whole food probiotic formula is designed to specifically meet the unique needs of women and support vaginal health and overall digestive function. It contains organic food-sourced vitamins and minerals, a blend of organic fruits, veggies, and mushrooms, probiotic strains derived from kefir cultures, and an ultra-digestive enzyme blend. "
Yeast Buster Formally Candida Rescue,27133,For Whole Body Wellness,"Candida albicans is a common yeast that can become problematic when it proliferates in the body. Vaginal yeast infections, digestive complaints, rashes, headaches, and food cravings are just a few of the symptoms of a candida overgrowth. Pathway Yeast Buster contains a blend of anti-fungal herbs designed to support the immune system and promote a healthy intestinal environment."
Zinc Lozenges,19326,Soothes Your Sore Throat,"Soothe your sore throat and support your immune system with Pathway Zinc Lozenges. Each lozenge contains zinc, vitamin C, slippery elm and bee propolis. Convenient to use and great tasting too!"
